ma tanbeta expm2 expm1 exp expp1 expp2 obs
50 1.0 63.602054808580526 84.785174968522 118.87840567370145 166.72485618421607 225.3209497609696 160.7177027060237
100 1.0 78.9675841223248 105.74155393688609 147.5172811572716 207.47222134513166 280.032804908719 203.8780502999863
150 1.0 89.73778508240603 119.56392752309013 167.64885629267997 235.1856170888029 317.8169995375155 240.42464384794914
200 1.0 125.12791946833347 166.90582679081984 232.1452190136187 327.43177610874767 441.24055812517594 328.5636898539382
250 1.0 156.37742208658136 209.42853963863655 292.1923955095754 409.8096018652947 553.7467425104057 388.83590422843565
300 1.0 219.21705965692067 292.3919705646226 406.6412358080423 573.5538742134871 772.9772999458296 579.7073355371901
350 1.0 352.81220260015806 472.5315296460118 659.3067639170023 924.7173157339577 1249.6604290873759 888.4089952364448
400 1.0 608.3067699452689 814.686973760966 1136.6579988894891 1598.842212380434 2157.546104705791 1571.9814483263303
500 1.0 1181.6386317325193 1582.6103362028932 2207.9907031540465 3114.517017062252 4197.288813532012 3266.8396893782146
50 10.0 0.7027845354188331 0.9368519614655363 1.3135724207994095 1.8422620298800232 2.4897321238201577 1.7758847001055849
100 10.0 0.8825175122757375 1.1817351912399385 1.6486079121140425 2.3186459441914655 3.129560782318182 2.278478590400552
150 10.0 0.9941355419828156 1.324556314607162 1.8572520645598036 2.6054396227457146 3.520848824120643 2.663478749763209
200 10.0 1.392169717739838 1.8569895412615276 2.5828411868594365 3.642996744940925 4.909230057293113 3.65559038547969
250 10.0 1.737133382684422 2.326456739334758 3.245846859690419 4.55240872017101 6.151348059919984 4.319420416379016
300 10.0 2.436445257937709 3.249733534680893 4.519534712385037 6.374652680709538 8.591105454538718 6.443044126546386
350 10.0 3.1108289741704076 4.166422711001828 5.8132643058945614 8.153452169460174 11.018552765548511 7.83331308533917
400 10.0 3.944786678448912 5.283134234207632 7.371072546792602 10.36827431808393 13.99139308074528 10.194085916032904
500 10.0 6.4743766547450115 8.671361225933232 12.097914775716761 17.064909460947995 22.997579782670353 17.899508404437924
50 20.0 0.22871168437443878 0.30488574992416895 0.4274843081596801 0.5995391626849415 0.8102495131608121 0.5779375620066597
100 20.0 0.28510952245053633 0.38177594365078416 0.5326056514379413 0.7490707308182626 1.011048016288973 0.7360941100734825
150 20.0 0.32308034896304394 0.4304625458727262 0.603581322455814 0.8467319665886944 1.1442273399402143 0.8655938829154387
200 20.0 0.45132830356354176 0.6020185101809743 0.837332773716571 1.181025215410518 1.5915261230924893 1.185107954998675
250 20.0 0.5637714975836282 0.7550312561327092 1.0534113058071477 1.4774445689469704 1.9963663944677326 1.4018302457996594
300 20.0 0.7919515015058715 1.0563058389675974 1.4690468788167395 2.072041530840508 2.7924858324443287 2.094271748426638
350 20.0 1.017735751663508 1.3630827617774 1.901861840397707 2.667475403256756 3.604818900106866 2.5627390149435265
400 20.0 1.2779127420634706 1.7114701265875065 2.387857265307 3.358800093468854 4.5325085877985645 3.3023718004722333
500 20.0 2.0962750447864176 2.8076151746485474 3.917065408868574 5.525280000246418 7.446161253773271 5.7955066229685945
50 25.0 0.17116803624970967 0.22817677740329978 0.3199296518470132 0.4486956642038785 0.6063914855043566 0.43252900626480073
100 25.0 0.214270356439542 0.28691874905822573 0.40027285582901245 0.5629543731521739 0.7598399975059219 0.5532019624698994
150 25.0 0.24287558350038257 0.32360012714935366 0.45374213056256446 0.6365305754859738 0.8601726590212972 0.650710017066054
200 25.0 0.3379107908440189 0.450732979234374 0.6269134409079826 0.8842369543303193 1.1915801571868037 0.8872937131290728
250 25.0 0.4277600905698868 0.5728779122227872 0.7992729634448509 1.1210070486598085 1.5147375725242669 1.0636348866109873
300 25.0 0.5947721886788017 0.7933078408997724 1.103285018999508 1.5561466503795078 2.0972154320805276 1.5728420100617198
350 25.0 0.7588041549030877 1.0162882274921199 1.4179915210668121 1.9888182328120052 2.687683472456662 1.9107288009612333
400 25.0 0.9560381992163709 1.2803932255916632 1.786415210340275 2.5128016078019924 3.390882026275668 2.470586203067681
500 25.0 1.5756268749351747 2.110292699736253 2.9441907179318116 4.152975861436679 5.59677119456504 4.3560867700662325
50 30.0 0.14004389799441475 0.18668652185005244 0.2617556204435788 0.3671076166150193 0.4961290039967833 0.3538806038798384
100 30.0 0.1752680056527658 0.2346926460917642 0.32741358311915086 0.4604831573317718 0.6215308696499134 0.45250591960747055
150 30.0 0.19990631727417127 0.2663491683913091 0.37346659967059054 0.523916325156701 0.7079919109473107 0.535587156396407
200 30.0 0.27865520066458505 0.37169303904437256 0.5169787275487697 0.7291783293706495 0.9826262339224843 0.7316990589819244
250 30.0 0.3512129063178703 0.4703620579681142 0.6562439709108399 0.9204041055772721 1.2436769976515774 0.8732986270178734
300 30.0 0.487516700791479 0.6502503457106464 0.9043292250939015 1.2755261516614487 1.719023800638773 1.2892108309819112
350 30.0 0.6216864978107068 0.8326426059126155 1.161757189863954 1.629434201104087 2.2020128835861525 1.5654557093026886
400 30.0 0.7845008311794347 1.0506583842952129 1.4658872610866829 2.06194161648089 2.7824722591891136 2.0273007201968407
500 30.0 1.2921349275961813 1.7306019262286578 2.414462282068328 3.4057588439185205 4.58978179244323 3.5723253727020823
50 35.0 0.1207 0.1609 0.22559999999999997 0.3164 0.4276 0.305
100 35.0 0.1516 0.20299999999999999 0.2832 0.3983 0.5376 0.3914000000000001
150 35.0 0.173 0.2305 0.3232 0.4534 0.6127 0.4635
200 35.0 0.24319999999999997 0.3244 0.45120000000000005 0.6364 0.8575999999999999 0.6386
250 35.0 0.3042 0.4074 0.5684 0.7972 1.0772 0.7564
300 35.0 0.42750000000000005 0.5702 0.793 1.1185 1.5074 1.1305
350 35.0 0.5393 0.7223 1.0078 1.4135 1.9102 1.358
400 35.0 0.6794 0.9099000000000002 1.2695 1.7857 2.4097 1.7557
500 35.0 1.1163 1.4951 2.0859 2.9423 3.9651999999999994 3.0862
50 40.0 0.10897162506671886 0.14526540574345534 0.2036785303649691 0.28565552751540885 0.38605026411374466 0.2753632613533492
100 40.0 0.1363524175898865 0.1825827227621831 0.25471638958743964 0.35823989397131784 0.4835294175219193 0.3520338802419629
